Gene_ID	P1S3	S2S3	P1V2	S2V2
fig|1185660.4.peg.1630	98	27	59	36
fig|1185660.4.peg.1631	66	11	17	23
fig|1185660.4.peg.1632	27	17	13	18
fig|1185660.4.peg.1633	18	15	13	16
fig|1185660.4.peg.1634	68	33	40	30
fig|1185660.4.peg.1635	75	61	43	39
fig|1185660.4.peg.1636	125	120	107	81
fig|1185660.4.peg.1637	15	8	12	8
fig|1185660.4.peg.1639	30	18	118	38
fig|1185660.4.peg.164	8	7	74	193
fig|1185660.4.peg.1640	15	18	26	21
fig|1185660.4.peg.1641	19	27	22	16
fig|1185660.4.peg.1642	216	199	203	184
fig|1185660.4.peg.1643	30	15	22	14
fig|1185660.4.peg.1644	35	36	40	33
fig|1185660.4.peg.1645	56	56	49	37
fig|1185660.4.peg.1646	129	121	118	83
fig|1185660.4.peg.1647	344	443	325	272
fig|1185660.4.peg.1648	145	83	94	69
fig|1185660.4.peg.1649	90	50	82	60
fig|1185660.4.peg.1650	108	60	76	66
fig|1185660.4.peg.1651	229	102	150	95
fig|1185660.4.peg.1652	183	89	218	147
fig|1185660.4.peg.1653	321	135	248	150
fig|1185660.4.peg.1654	315	852	16682	14250
fig|1185660.4.peg.1655	518	328	385	286
fig|1185660.4.peg.1656	137	67	103	92
fig|1185660.4.peg.1657	229	123	195	196
fig|1185660.4.peg.1657	235	139	175	150
fig|1185660.4.peg.1659	263	204	261	223
fig|1185660.4.peg.166	72	55	52	48
fig|1185660.4.peg.1660	1108	1302	1300	964
fig|1185660.4.peg.1661	433	258	530	442
fig|1185660.4.peg.1662	125	90	128	104
fig|1185660.4.peg.1663	1633	563	1901	1236
fig|1185660.4.peg.1664	2499	1171	2683	1843
fig|1185660.4.peg.1666	35	62	244	67
fig|1185660.4.peg.1666	38	31	41	37
fig|1185660.4.peg.1667	33	42	110	59
fig|1185660.4.peg.1668	29	32	39	26
fig|1185660.4.peg.1669	33	51	64	24
fig|1185660.4.peg.167	306	284	187	141
fig|1185660.4.peg.1670	35	62	244	67
fig|1185660.4.peg.1670	38	31	41	37
fig|1185660.4.peg.1671	129	173	1849	189
fig|1185660.4.peg.1672	442	528	332	270
fig|1185660.4.peg.1677	74	102	76	64
fig|1185660.4.peg.1678	0	36	73	696
fig|1185660.4.peg.1682	0	1	3	1
fig|1185660.4.peg.1683	0	0	0	0
fig|1185660.4.peg.1684	32	38	88	76
fig|1185660.4.peg.1685	44	52	65	55
fig|1185660.4.peg.1686	41	29	47	34
fig|1185660.4.peg.1687	29	31	38	28
fig|1185660.4.peg.1688	23	14	31	37
fig|1185660.4.peg.169	16	20	11	21
fig|1185660.4.peg.1690	10	10	15	22
fig|1185660.4.peg.1691	13	12	22	20
fig|1185660.4.peg.1692	2	3	7	24
fig|1185660.4.peg.17	85	55	61	59
fig|1185660.4.peg.170	75	41	83	119
fig|1185660.4.peg.1700	94	68	133	82
fig|1185660.4.peg.1701	147	141	195	170
fig|1185660.4.peg.1702	23	34	27	47
fig|1185660.4.peg.1703	6	7	14	10
fig|1185660.4.peg.1705	22	26	17	19
fig|1185660.4.peg.1706	25	40	32	40
fig|1185660.4.peg.1708	94	76	68	62
fig|1185660.4.peg.1709	27	21	76	137
fig|1185660.4.peg.171	51	54	48	84
fig|1185660.4.peg.1711	152	205	155	126
fig|1185660.4.peg.1712	104	111	96	82
fig|1185660.4.peg.1714	13	18	15	10
fig|1185660.4.peg.1715	7	6	6	6
fig|1185660.4.peg.1716	5	4	9	4
fig|1185660.4.peg.1717	3	3	4	5
fig|1185660.4.peg.1718	10	5	11	14
fig|1185660.4.peg.172	50	49	93	117
fig|1185660.4.peg.1720	28	16	20	12
fig|1185660.4.peg.1721	12	11	13	10
fig|1185660.4.peg.1722	10	4	14	9
fig|1185660.4.peg.1723	6	7	7	10
fig|1185660.4.peg.1724	1	2	7	11
fig|1185660.4.peg.1725	201	111	242	236
fig|1185660.4.peg.1726	40	28	40	26
fig|1185660.4.peg.1727	6	4	5	8
fig|1185660.4.peg.1728	3	2	5	3
fig|1185660.4.peg.1729	4	4	5	6
fig|1185660.4.peg.173	52	50	37	35
fig|1185660.4.peg.1730	9	8	10	11
fig|1185660.4.peg.1731	3	4	8	13
fig|1185660.4.peg.1732	4	3	5	7
fig|1185660.4.peg.1733	3	3	4	7
fig|1185660.4.peg.1735	3	3	5	7
fig|1185660.4.peg.1736	2	2	3	5
fig|1185660.4.peg.1737	2	1	3	2
fig|1185660.4.peg.1738	2	2	3	3
fig|1185660.4.peg.1739	2	3	6	10
fig|1185660.4.peg.174	93	50	67	66
fig|1185660.4.peg.1740	2	3	3	4
fig|1185660.4.peg.1741	1	2	5	7
fig|1185660.4.peg.1742	1	2	3	3
fig|1185660.4.peg.1743	9	16	8	9
fig|1185660.4.peg.1744	103	93	73	66
fig|1185660.4.peg.1746	28	279	28	34
fig|1185660.4.peg.1747	58	95	426	715
fig|1185660.4.peg.1748	110	87	142	192
fig|1185660.4.peg.1749	122	103	119	131
fig|1185660.4.peg.175	73	41	57	63
fig|1185660.4.peg.1750	354	358	375	288
fig|1185660.4.peg.1751	206	174	189	157
fig|1185660.4.peg.1752	90	49	85	85
fig|1185660.4.peg.1753	40	21	27	19
fig|1185660.4.peg.1754	350	168	358	272
fig|1185660.4.peg.1756	1181	1055	958	663
fig|1185660.4.peg.1757	390	419	320	236
fig|1185660.4.peg.1759	251	234	226	190
fig|1185660.4.peg.176	214	139	146	130
fig|1185660.4.peg.1760	61	34	64	82
fig|1185660.4.peg.1761	616	462	553	428
fig|1185660.4.peg.1762	594	401	647	604
fig|1185660.4.peg.1765	73	32	67	54
fig|1185660.4.peg.1766	131	138	145	125
fig|1185660.4.peg.1767	281	191	206	178
fig|1185660.4.peg.1768	108	71	111	108
fig|1185660.4.peg.1768	181	140	161	161
fig|1185660.4.peg.1769	148	113	156	137
fig|1185660.4.peg.177	85	79	81	77
fig|1185660.4.peg.1770	237	171	201	165
fig|1185660.4.peg.1771	291	261	478	425
fig|1185660.4.peg.1772	431	455	1093	754
fig|1185660.4.peg.1773	223	158	333	252
fig|1185660.4.peg.1774	355	462	371	339
fig|1185660.4.peg.1775	151	153	160	144
fig|1185660.4.peg.1776	88	60	90	82
fig|1185660.4.peg.1777	1068	612	2418	971
fig|1185660.4.peg.1778	283	213	301	230
fig|1185660.4.peg.1779	130	54	119	90
fig|1185660.4.peg.1783	66	50	68	62
fig|1185660.4.peg.1784	397	393	409	327
fig|1185660.4.peg.1785	211	231	214	128
fig|1185660.4.peg.1786	314	289	311	264
fig|1185660.4.peg.1787	1985	1309	11491	10245
fig|1185660.4.peg.1788	10	12	37	18
fig|1185660.4.peg.1789	16	38	18	21
fig|1185660.4.peg.179	105	252	91	83
fig|1185660.4.peg.1790	18	19	15	27
fig|1185660.4.peg.1791	88	78	68	49
fig|1185660.4.peg.1792	37	40	32	28
fig|1185660.4.peg.1793	83	87	69	79
fig|1185660.4.peg.1794	107	85	91	107
fig|1185660.4.peg.1795	392	395	322	289
fig|1185660.4.peg.1796	284	349	242	230
fig|1185660.4.peg.1797	615	630	609	558
fig|1185660.4.peg.1798	628	502	847	619
fig|1185660.4.peg.1799	545	439	696	476
fig|1185660.4.peg.18	145	121	89	75
fig|1185660.4.peg.180	111	222	80	87
fig|1185660.4.peg.1800	228	180	171	183
fig|1185660.4.peg.1801	830	736	1012	971
fig|1185660.4.peg.1802	442	411	701	629
fig|1185660.4.peg.1803	35	23	46	65
fig|1185660.4.peg.1804	29	12	43	35
fig|1185660.4.peg.1805	19	10	18	25
fig|1185660.4.peg.1806	17	14	25	30
fig|1185660.4.peg.1807	23	16	33	31
fig|1185660.4.peg.1808	120	72	49	40
fig|1185660.4.peg.1809	167	66	147	128
fig|1185660.4.peg.181	184	75	187	157
fig|1185660.4.peg.1810	29	14	22	29
fig|1185660.4.peg.1811	42	24	37	48
fig|1185660.4.peg.1812	30	28	24	32
fig|1185660.4.peg.1813	67	48	70	86
fig|1185660.4.peg.1814	89	49	69	82
fig|1185660.4.peg.1815	106	86	114	110
fig|1185660.4.peg.1816	13	16	12	21
fig|1185660.4.peg.1816	375	278	445	348
fig|1185660.4.peg.1817	90	67	113	108
fig|1185660.4.peg.1818	0	0	0	0
fig|1185660.4.peg.182	210	61	189	201
fig|1185660.4.peg.1820	11	12	7	14
fig|1185660.4.peg.1822	101	35	76	93
fig|1185660.4.peg.1822	3	5	4	5
fig|1185660.4.peg.1822	85	67	76	72
fig|1185660.4.peg.1823	9	8	10	9
fig|1185660.4.peg.1824	398	324	423	237
fig|1185660.4.peg.1825	236	159	301	230
fig|1185660.4.peg.1826	100	118	93	114
fig|1185660.4.peg.1827	76	76	64	71
fig|1185660.4.peg.1828	1171	1021	1678	620
fig|1185660.4.peg.1829	248	181	233	229
fig|1185660.4.peg.183	39	10	66	128
fig|1185660.4.peg.1830	65	70	77	76
fig|1185660.4.peg.1831	35	48	39	39
fig|1185660.4.peg.1833	217	74	164	132
fig|1185660.4.peg.1834	72	25	54	47
fig|1185660.4.peg.1835	8	5	13	8
fig|1185660.4.peg.1836	5	11	14	18
fig|1185660.4.peg.1837	308	653	31	10
fig|1185660.4.peg.1839	169	410	59	52
fig|1185660.4.peg.184	50	21	35	43
fig|1185660.4.peg.1840	55	271	29	31
fig|1185660.4.peg.1844	53	54	38	34
fig|1185660.4.peg.1845	26	33	19	17
fig|1185660.4.peg.1846	21	16	19	17
fig|1185660.4.peg.1847	24	19	18	22
fig|1185660.4.peg.1848	70	60	66	61
fig|1185660.4.peg.185	43	59	30	39
fig|1185660.4.peg.1851	71	90	172	136
fig|1185660.4.peg.1853	206	167	147	129
fig|1185660.4.peg.1858	16	23	42	54
fig|1185660.4.peg.186	25	35	22	25
fig|1185660.4.peg.1860	13	14	12	13
fig|1185660.4.peg.1861	11	12	9	16
fig|1185660.4.peg.1862	17	0	70	9
fig|1185660.4.peg.1863	5	5	8	8
fig|1185660.4.peg.1864	118	106	174	139
fig|1185660.4.peg.1865	75	62	78	71
fig|1185660.4.peg.1866	90	102	87	89
fig|1185660.4.peg.1867	0	24	353	403
fig|1185660.4.peg.1868	66	80	78	56
fig|1185660.4.peg.1870	173	151	153	152
fig|1185660.4.peg.1871	65	35	112	53
fig|1185660.4.peg.1872	40	17	37	30
fig|1185660.4.peg.1873	27	10	26	23
fig|1185660.4.peg.1874	30	8	31	22
fig|1185660.4.peg.1875	46	20	45	22
fig|1185660.4.peg.1876	19	7	20	11
fig|1185660.4.peg.1877	18	7	22	16
fig|1185660.4.peg.1878	26	14	31	22
fig|1185660.4.peg.1879	30	14	45	45
fig|1185660.4.peg.188	176	186	302	211
fig|1185660.4.peg.1880	56	40	50	33
fig|1185660.4.peg.1882	43	69	48	43
fig|1185660.4.peg.1883	167	222	177	147
fig|1185660.4.peg.1884	249	304	237	162
fig|1185660.4.peg.1885	157	192	165	156
fig|1185660.4.peg.1886	178	94	109	105
fig|1185660.4.peg.1887	141	86	103	90
fig|1185660.4.peg.1888	63	42	67	71
fig|1185660.4.peg.1889	181	122	137	104
fig|1185660.4.peg.189	68	72	560	596
fig|1185660.4.peg.1891	100	74	72	72
fig|1185660.4.peg.1892	188	90	148	188
fig|1185660.4.peg.1893	25	18	19	20
fig|1185660.4.peg.1894	170	79	201	181
fig|1185660.4.peg.1895	363	234	385	280
fig|1185660.4.peg.1896	113	61	78	78
fig|1185660.4.peg.1897	39	34	36	40
fig|1185660.4.peg.1899	48	60	63	72
fig|1185660.4.peg.19	52	38	42	37
fig|1185660.4.peg.190	10	14	25	28
fig|1185660.4.peg.1900	62	72	42	40
fig|1185660.4.peg.1901	199	214	348	473
fig|1185660.4.peg.1902	77	62	50	70
fig|1185660.4.peg.1903	61	45	85	180
fig|1185660.4.peg.1904	107	89	103	74
fig|1185660.4.peg.1905	72	70	49	44
fig|1185660.4.peg.1906	71	55	42	55
fig|1185660.4.peg.1907	43	26	48	63
fig|1185660.4.peg.1908	353	295	349	397
fig|1185660.4.peg.1909	165	104	208	166
fig|1185660.4.peg.1910	246	201	242	232
fig|1185660.4.peg.1911	436	369	593	468
fig|1185660.4.peg.1912	196	133	156	173
fig|1185660.4.peg.1913	78	44	61	56
fig|1185660.4.peg.1914	5	2	5	5
fig|1185660.4.peg.1915	25	11	24	18
fig|1185660.4.peg.1917	307	220	250	229
fig|1185660.4.peg.1918	0	0	267	175
fig|1185660.4.peg.1919	0	0	126	115
fig|1185660.4.peg.192	71	55	73	108
fig|1185660.4.peg.1920	0	0	102	70
fig|1185660.4.peg.1921	112	128	112	93
fig|1185660.4.peg.1922	134	97	118	107
fig|1185660.4.peg.1923	39	27	81	77
fig|1185660.4.peg.1925	59	55	64	124
fig|1185660.4.peg.1926	129	49	276	302
fig|1185660.4.peg.1927	34	34	67	68
fig|1185660.4.peg.1928	158	129	166	186
fig|1185660.4.peg.1929	19	13	20	20
fig|1185660.4.peg.193	109	93	102	90
fig|1185660.4.peg.1930	5	3	30	12
fig|1185660.4.peg.1931	3	4	33	12
fig|1185660.4.peg.1931	8	7	52	63
fig|1185660.4.peg.1931	8	8	28	14
fig|1185660.4.peg.1932	4	6	67	15
fig|1185660.4.peg.1933	19	10	107	70
fig|1185660.4.peg.1933	3	2	122	16
fig|1185660.4.peg.1933	4	5	23	10
fig|1185660.4.peg.1933	92	83	125	102
fig|1185660.4.peg.1934	7	8	319	46
fig|1185660.4.peg.1935	21	17	967	137
fig|1185660.4.peg.1936	1	1	54	18
fig|1185660.4.peg.1936	10	16	113	24
fig|1185660.4.peg.1936	5	5	288	57
fig|1185660.4.peg.1937	2	4	55	14
fig|1185660.4.peg.1938	8	8	36	13
fig|1185660.4.peg.1939	3	3	6	7
fig|1185660.4.peg.194	75	87	56	68
fig|1185660.4.peg.1940	3	3	7	7
fig|1185660.4.peg.1943	2	3	10	6
fig|1185660.4.peg.1944	2	2	4	6
fig|1185660.4.peg.1946	2	2	9	5
fig|1185660.4.peg.1947	1	3	6	6
fig|1185660.4.peg.1948	3	5	37	12
fig|1185660.4.peg.1949	1	2	12	3
fig|1185660.4.peg.195	42	74	46	49
fig|1185660.4.peg.1950	1	1	25	6
fig|1185660.4.peg.1951	2	3	14	7
fig|1185660.4.peg.1952	3	3	24	8
fig|1185660.4.peg.1953	1	1	62	9
fig|1185660.4.peg.1954	2	3	19	7
fig|1185660.4.peg.1955	3	3	71	15
fig|1185660.4.peg.1955	4	10	282	37
fig|1185660.4.peg.1955	4	8	246	30
fig|1185660.4.peg.1955	5	9	200	33
fig|1185660.4.peg.1956	13	32	2032	156
fig|1185660.4.peg.1956	14	23	1420	139
fig|1185660.4.peg.1957	11	20	1361	159
fig|1185660.4.peg.1959	6	9	165	20
fig|1185660.4.peg.196	31	42	29	32
fig|1185660.4.peg.1961	3	6	101	20
fig|1185660.4.peg.1963	50	20	53	18
fig|1185660.4.peg.1966	0	0	0	0
fig|1185660.4.peg.1967	0	0	0	0
fig|1185660.4.peg.197	8	7	8	11
fig|1185660.4.peg.1970	44	42	70	50
fig|1185660.4.peg.1971	32	36	53	73
fig|1185660.4.peg.1972	55	74	61	102
fig|1185660.4.peg.1973	70	74	80	106
fig|1185660.4.peg.1975	55	54	47	42
fig|1185660.4.peg.1976	100	49	265	193
fig|1185660.4.peg.1977	92	90	103	60
fig|1185660.4.peg.1978	73	45	65	43
fig|1185660.4.peg.1979	67	48	57	55
fig|1185660.4.peg.198	37	36	50	65
fig|1185660.4.peg.1980	41	21	37	34
fig|1185660.4.peg.1981	46	35	48	38
fig|1185660.4.peg.1982	25	19	39	29
fig|1185660.4.peg.1983	67	59	87	71
fig|1185660.4.peg.1984	20	13	20	28
fig|1185660.4.peg.1985	67	85	69	90
fig|1185660.4.peg.1986	16	16	37	51
fig|1185660.4.peg.1987	27	24	32	30
fig|1185660.4.peg.1988	47	44	57	43
fig|1185660.4.peg.1989	49	37	70	57
fig|1185660.4.peg.199	51	38	52	37
fig|1185660.4.peg.1990	18	13	14	16
fig|1185660.4.peg.1991	10	10	8	15
fig|1185660.4.peg.1992	3	5	4	8
fig|1185660.4.peg.1993	11	23	18	23
fig|1185660.4.peg.1994	32	38	165	125
fig|1185660.4.peg.1998	38	23	32	23
fig|1185660.4.peg.1999	50	23	45	34
fig|1185660.4.peg.20	53	19	28	31
fig|1185660.4.peg.200	298	157	313	151
fig|1185660.4.peg.2000	51	28	106	83
fig|1185660.4.peg.2001	71	36	67	46
fig|1185660.4.peg.2002	78	28	76	48
fig|1185660.4.peg.2003	44	17	57	33
fig|1185660.4.peg.2004	96	39	118	66
fig|1185660.4.peg.2005	74	27	117	62
fig|1185660.4.peg.2006	133	40	212	114
fig|1185660.4.peg.2007	156	64	193	150
fig|1185660.4.peg.2008	198	125	250	187
fig|1185660.4.peg.2009	275	148	214	159
fig|1185660.4.peg.201	1025	919	1135	687
fig|1185660.4.peg.2010	122	106	112	84
fig|1185660.4.peg.2011	230	194	338	221
fig|1185660.4.peg.2015	156	322	177	139
fig|1185660.4.peg.2016	81	113	110	89
fig|1185660.4.peg.2017	103	123	153	98
fig|1185660.4.peg.2018	5	7	6	9
fig|1185660.4.peg.202	401	282	268	226
fig|1185660.4.peg.2020	3	4	31	71
fig|1185660.4.peg.2021	3	10	249	510
fig|1185660.4.peg.2023	3	3	430	584
fig|1185660.4.peg.2024	24	21	40	31
fig|1185660.4.peg.2026	80	40	91	91
fig|1185660.4.peg.2027	136	101	115	100
fig|1185660.4.peg.2028	95	81	96	74
fig|1185660.4.peg.203	1157	1196	1459	1301
fig|1185660.4.peg.2030	642	450	736	482
fig|1185660.4.peg.2031	54	58	52	44
fig|1185660.4.peg.2032	51	39	32	24
fig|1185660.4.peg.2033	44	23	27	27
fig|1185660.4.peg.2035	94	37	98	103
fig|1185660.4.peg.2036	298	155	424	299
fig|1185660.4.peg.2037	528	615	1151	857
fig|1185660.4.peg.2038	72	42	67	36
fig|1185660.4.peg.2039	48	38	59	44
fig|1185660.4.peg.204	7	10	17	46
fig|1185660.4.peg.2040	130	97	128	92
fig|1185660.4.peg.2041	78	77	85	58
fig|1185660.4.peg.2042	150	145	258	200
fig|1185660.4.peg.2044	25	15	22	30
fig|1185660.4.peg.2045	19	14	23	25
fig|1185660.4.peg.2046	191	116	246	158
fig|1185660.4.peg.2046	36	26	28	26
fig|1185660.4.peg.2047	17870	12559	85300	39817
fig|1185660.4.peg.2048	170	120	190	139
fig|1185660.4.peg.2049	59	37	67	54
fig|1185660.4.peg.205	11	6	16	28
fig|1185660.4.peg.2050	131	87	112	88
fig|1185660.4.peg.2051	77	163	58	42
fig|1185660.4.peg.2052	36	43	27	27
fig|1185660.4.peg.2053	152	144	124	97
fig|1185660.4.peg.2054	21	10	32	30
fig|1185660.4.peg.2054	87	66	84	66
fig|1185660.4.peg.2055	54	64	49	53
fig|1185660.4.peg.2056	88	73	82	67
fig|1185660.4.peg.2057	101	35	76	93
fig|1185660.4.peg.2057	3	5	4	5
fig|1185660.4.peg.2057	85	67	76	72
fig|1185660.4.peg.2058	57	38	41	51
fig|1185660.4.peg.2059	78	88	60	53
fig|1185660.4.peg.206	12	10	22	34
fig|1185660.4.peg.2060	28	37	23	19
fig|1185660.4.peg.2062	127	50	39	46
fig|1185660.4.peg.2063	48	34	31	29
fig|1185660.4.peg.2064	137	82	147	121
fig|1185660.4.peg.2065	7	7	19	52
fig|1185660.4.peg.2066	5	0	375	992
fig|1185660.4.peg.2067	1527	947	3233	2194
fig|1185660.4.peg.2068	651	383	4486	3733
fig|1185660.4.peg.2069	52	47	80	87
fig|1185660.4.peg.207	43	27	64	75
fig|1185660.4.peg.2070	1	1	54	18
fig|1185660.4.peg.2070	10	16	113	24
fig|1185660.4.peg.2070	5	5	288	57
fig|1185660.4.peg.2071	7	9	96	15
fig|1185660.4.peg.2072	13	10	31	72
fig|1185660.4.peg.2074	126	208	128	76
fig|1185660.4.peg.2075	98	195	148	132
fig|1185660.4.peg.2076	347	488	344	239
fig|1185660.4.peg.2077	230	540	323	239
fig|1185660.4.peg.2077	306	177	228	193
fig|1185660.4.peg.2079	62	122	77	139
fig|1185660.4.peg.208	22	18	20	31
fig|1185660.4.peg.2080	29	62	43	50
fig|1185660.4.peg.2081	101	121	159	140
fig|1185660.4.peg.2082	156	174	149	62
fig|1185660.4.peg.2083	28	31	16	24
fig|1185660.4.peg.2084	226	412	290	271
fig|1185660.4.peg.2085	118	133	225	94
fig|1185660.4.peg.2086	55	50	80	88
fig|1185660.4.peg.2087	33	35	44	31
fig|1185660.4.peg.2089	135	60	118	118
fig|1185660.4.peg.2090	485	274	624	288
fig|1185660.4.peg.2092	100	90	132	136
fig|1185660.4.peg.2093	37	30	38	76
fig|1185660.4.peg.2094	112	188	192	126
fig|1185660.4.peg.2095	134	217	184	149
fig|1185660.4.peg.2096	347	452	445	460
fig|1185660.4.peg.2097	103	100	129	115
fig|1185660.4.peg.2098	111	99	170	115
fig|1185660.4.peg.2099	13	15	46	52
fig|1185660.4.peg.21	38	74	60	71
fig|1185660.4.peg.210	94	76	64	55
fig|1185660.4.peg.2101	14	10	27	37
fig|1185660.4.peg.2102	8	11	17	18
fig|1185660.4.peg.2103	20	18	33	30
fig|1185660.4.peg.2104	29	19	49	62
fig|1185660.4.peg.2104	92	39	96	66
fig|1185660.4.peg.2105	24	16	33	42
fig|1185660.4.peg.2106	40	54	66	77
fig|1185660.4.peg.2107	35	69	44	27
fig|1185660.4.peg.2108	33	36	56	59
fig|1185660.4.peg.211	8	12	26	27
fig|1185660.4.peg.2111	10	24	17	15
fig|1185660.4.peg.2111	432	313	419	320
fig|1185660.4.peg.2111	81	112	77	94
fig|1185660.4.peg.2112	13	15	20	16
fig|1185660.4.peg.2113	10	14	15	21
fig|1185660.4.peg.2115	13	13	51	26
fig|1185660.4.peg.2116	35	24	39	31
fig|1185660.4.peg.2117	5	14	12	16
fig|1185660.4.peg.2118	21	23	28	23
fig|1185660.4.peg.2119	20	23	72	83
fig|1185660.4.peg.212	134	72	197	200
fig|1185660.4.peg.2120	25	29	61	67
fig|1185660.4.peg.2121	29	29	108	113
fig|1185660.4.peg.2122	23	25	66	64
fig|1185660.4.peg.2124	16	17	26	31
fig|1185660.4.peg.2125	54	40	55	43
fig|1185660.4.peg.2126	22	25	36	35
fig|1185660.4.peg.2127	13	20	28	29
fig|1185660.4.peg.2128	16	16	36	45
fig|1185660.4.peg.2129	23	57	25	20
fig|1185660.4.peg.2130	79	98	98	66
fig|1185660.4.peg.2132	77	69	76	70
fig|1185660.4.peg.2133	49	36	45	41
fig|1185660.4.peg.2134	1868	1980	754	382
fig|1185660.4.peg.2135	148	183	196	177
fig|1185660.4.peg.2138	16	49	15	16
fig|1185660.4.peg.2139	4	51	5	10
fig|1185660.4.peg.2139	8	123	8	20
fig|1185660.4.peg.214	173	95	167	111
fig|1185660.4.peg.2140	4	33	5	23
fig|1185660.4.peg.2141	3	16	6	13
fig|1185660.4.peg.2142	3	10	4	7
fig|1185660.4.peg.2143	2	2	6	3
fig|1185660.4.peg.2147	0	1	0	0
fig|1185660.4.peg.2149	138	61	169	137
fig|1185660.4.peg.215	94	48	76	68
fig|1185660.4.peg.2150	190	93	194	169
fig|1185660.4.peg.2151	834	546	1556	1204
fig|1185660.4.peg.2152	89	88	87	91
fig|1185660.4.peg.2155	8	23	18	15
fig|1185660.4.peg.2157	504	969	484	435
fig|1185660.4.peg.2158	63	141	78	100
fig|1185660.4.peg.216	37	21	40	38
fig|1185660.4.peg.2160	5	9	7	10
fig|1185660.4.peg.2161	3	6	6	5
fig|1185660.4.peg.2162	130	121	165	122
fig|1185660.4.peg.2163	70	116	65	52
fig|1185660.4.peg.2164	20	0	756	403
fig|1185660.4.peg.2167	498	767	1056	552
fig|1185660.4.peg.2168	2697	2710	3272	2008
fig|1185660.4.peg.2169	87	83	250	129
fig|1185660.4.peg.217	60	41	39	37
fig|1185660.4.peg.2171	220	792	188	218
fig|1185660.4.peg.2173	35	31	42	32
fig|1185660.4.peg.2174	228	234	293	183
fig|1185660.4.peg.2175	18	56	19	12
fig|1185660.4.peg.2176	180	206	1200	706
fig|1185660.4.peg.2177	10	15	142	184
fig|1185660.4.peg.2178	4	8	119	306
fig|1185660.4.peg.218	54	37	39	38
fig|1185660.4.peg.2180	13	11	31	56
fig|1185660.4.peg.2181	4	3	8	8
fig|1185660.4.peg.2182	4	2	7	26
fig|1185660.4.peg.2183	3	8	5	10
fig|1185660.4.peg.2184	6	5	8	8
fig|1185660.4.peg.2185	13	14	33	28
fig|1185660.4.peg.2186	26	26	99	109
fig|1185660.4.peg.2187	242	415	878	1102
fig|1185660.4.peg.2188	14	43	27	44
fig|1185660.4.peg.2189	25	45	39	45
fig|1185660.4.peg.219	50	59	1628	4068
fig|1185660.4.peg.2191	14	15	26	34
fig|1185660.4.peg.2195	0	0	2	2
fig|1185660.4.peg.22	5	7	205	147
fig|1185660.4.peg.2200	90	89	234	128
fig|1185660.4.peg.2201	53	58	374	730
fig|1185660.4.peg.2202	67	51	185	140
fig|1185660.4.peg.2203	285	349	1510	654
fig|1185660.4.peg.2205	1	3	3	8
fig|1185660.4.peg.2206	2	3	3	6
fig|1185660.4.peg.2207	1	2	3	6
fig|1185660.4.peg.2208	26	28	20	25
fig|1185660.4.peg.2209	38	54	69	65
fig|1185660.4.peg.2210	38	29	30	33
fig|1185660.4.peg.2211	2	5	4	6
fig|1185660.4.peg.2212	9	6	10	11
fig|1185660.4.peg.2213	10	11	33	30
fig|1185660.4.peg.2214	21	13	24	20
fig|1185660.4.peg.2215	6	3	34	63
fig|1185660.4.peg.2217	2	2	5	16
fig|1185660.4.peg.2218	3	5	15	31
fig|1185660.4.peg.2219	2	5	24	44
fig|1185660.4.peg.222	24	19	33	32
fig|1185660.4.peg.2220	10	12	56	88
fig|1185660.4.peg.2221	7	12	192	164
fig|1185660.4.peg.2223	39	37	62	69
fig|1185660.4.peg.2224	113	65	101	78
fig|1185660.4.peg.2226	645	404	671	495
fig|1185660.4.peg.2227	874	513	892	682
fig|1185660.4.peg.2228	1505	776	1643	1228
fig|1185660.4.peg.2229	265	208	269	258
fig|1185660.4.peg.223	92	78	58	87
fig|1185660.4.peg.2230	285	216	228	138
fig|1185660.4.peg.2231	689	348	594	342
fig|1185660.4.peg.2232	1914	804	2167	1874
fig|1185660.4.peg.2233	128	45	196	112
fig|1185660.4.peg.2235	141	60	246	72
fig|1185660.4.peg.2236	36	41	69	47
fig|1185660.4.peg.2237	66	110	64	59
fig|1185660.4.peg.2238	16	19	12	12
fig|1185660.4.peg.2239	295	329	287	274
fig|1185660.4.peg.224	84	70	63	70
fig|1185660.4.peg.2240	94	130	145	98
fig|1185660.4.peg.2241	203	108	168	148
fig|1185660.4.peg.2243	313	267	285	229
fig|1185660.4.peg.2244	110	74	97	76
fig|1185660.4.peg.2245	74	84	82	64
fig|1185660.4.peg.2246	3261	2236	13046	6035
fig|1185660.4.peg.2247	275	716	361	375
fig|1185660.4.peg.2248	278	450	491	285
fig|1185660.4.peg.2249	10	11	19	19
fig|1185660.4.peg.2249	137	102	162	193
fig|1185660.4.peg.225	112	74	96	118
fig|1185660.4.peg.2250	101	65	86	82
fig|1185660.4.peg.2251	125	85	99	98
fig|1185660.4.peg.2252	16	12	355	70
fig|1185660.4.peg.2253	1	4	147	28
fig|1185660.4.peg.2254	3	4	47	14
fig|1185660.4.peg.2255	99	77	189	141
fig|1185660.4.peg.2256	227	242	341	196
fig|1185660.4.peg.2257	3	11	880	151
fig|1185660.4.peg.2258	11	12	1863	364
fig|1185660.4.peg.2259	6	7	199	80
fig|1185660.4.peg.226	78	46	40	43
fig|1185660.4.peg.2260	6	10	177	22
fig|1185660.4.peg.2261	1	10	938	186
fig|1185660.4.peg.2262	3	5	864	216
